PoArea,PdArea,OrdLdMi,All-In
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,83,541.56
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
